,Model,MAE,MSE,RMSE,GAME4,GAME16,PSNR,SSIM
0,CSRNet-SHA,12.7512,287.6956,16.9616,20.4412,28.4359,82.3891,1.0
1,CSRNet-SHB,11.1505,156.8022,12.5221,16.9662,19.9244,82.5656,1.0
2,Bay-SHA,10.1384,142.1822,11.924,12.3152,15.1838,82.6704,1.0
3,Bay-SHB,13.3462,225.6621,15.0221,14.9241,16.0506,81.5847,1.0
4,Bay-QNRF,8.2913,88.9195,9.4297,11.2971,13.5835,82.5247,1.0
5,DM-Count-SHA,12.9519,217.7677,14.757,14.0687,15.6431,79.2569,1.0
6,DM-Count-SHB,13.6476,244.5373,15.6377,14.9148,16.4813,78.3209,1.0
7,DM-Count-QNRF,7.1603,62.8153,7.9256,8.4191,10.4268,78.5015,0.9999
8,SFANet-SHB,17.0615,639.8622,25.2955,28.4125,32.0732,78.7948,0.9999
9,SASNet-SHA,10.7113,155.1805,12.4571,13.4628,16.1836,82.7701,1.0
10,SASNet-SHB,14.4341,260.7288,16.1471,15.28,15.9175,82.3073,1.0
