,Model,MAE,MSE,RMSE,GAME4,GAME16,PSNR,SSIM
0,CSRNet-SHA,41.2627,5488.357,74.0834,48.2119,59.4715,78.641,1.0
1,CSRNet-SHB,82.6729,11753.0335,108.4114,82.7451,83.2961,78.1198,0.9999
2,Bay-SHA,71.6992,9648.9607,98.2291,71.8441,73.5528,78.5688,0.9999
3,Bay-SHB,80.546,12405.5348,111.3801,80.5532,82.3069,77.9899,0.9999
4,Bay-QNRF,77.8774,11919.928,109.1784,77.8877,78.5353,78.1917,0.9999
5,DM-Count-SHA,67.3079,8240.4983,90.7772,67.3602,68.3621,77.2075,0.9999
6,DM-Count-SHB,79.0107,12104.58,110.0208,79.0373,81.2361,76.7123,0.9999
7,DM-Count-QNRF,76.2074,11174.2929,105.7085,76.2074,76.6062,77.0868,0.9999
8,SFANet-SHB,68.2976,10070.0644,100.3497,70.9559,74.8233,76.7116,0.9999
9,SASNet-SHA,66.1806,7372.7649,85.8648,66.2176,67.0905,78.628,1.0
10,SASNet-SHB,78.3348,11916.9535,109.1648,78.7003,79.9291,78.0518,0.9999
