,Model,MAE,MSE,RMSE,GAME4,GAME16,PSNR,SSIM
0,CSRNet-SHA,897.0324,5146196.5933,2268.5230,913.0841,929.4525,74.1967,0.9977
1,CSRNet-SHB,920.9485,5119166.9481,2262.5576,927.9868,937.2187,74.1110,0.9977
2,Bay-SHA,857.9364,4853016.3888,2202.9563,866.1373,882.3989,74.2917,0.9978
3,Bay-SHB,1003.5164,5780074.0163,2404.1784,1006.1900,1010.0180,73.5693,0.9975
4,Bay-QNRF,909.7641,5238261.0152,2288.7248,914.8013,920.6233,74.1000,0.9976
5,DM-Count-SHA,846.5563,4739412.9416,2177.0193,860.8282,874.5521,72.5849,0.9978
6,DM-Count-SHB,944.5462,5361582.0673,2315.5090,949.5132,953.9746,71.8510,0.9976
7,DM-Count-QNRF,876.7260,5097459.3691,2257.7554,888.1738,894.4575,72.2471,0.9977
8,SFANet-SHB,1056.4672,6133167.6782,2476.5233,1062.6151,1068.8300,72.6223,0.9974
9,SASNet-SHA,889.0339,5133095.4142,2265.6336,897.8271,910.9049,74.4468,0.9977
10,SASNet-SHB,981.8179,5579023.0142,2361.9956,983.4514,986.7919,74.0138,0.9976
