,Model,MAE,MSE,RMSE,GAME4,GAME16,PSNR,SSIM
0,CSRNet-SHA,84.8450,18715.8652,136.8059,92.9638,104.8193,62.1140,0.9973
1,CSRNet-SHB,137.3784,41508.1523,203.7355,149.4631,162.8108,60.8627,0.9961
2,Bay-SHA,70.6593,15782.1758,125.6271,78.4654,89.5939,63.3911,0.9979
3,Bay-SHB,154.3526,67070.6719,258.9801,158.8308,166.1559,60.7700,0.9958
4,Bay-QNRF,71.0957,19350.6230,139.1065,77.9976,86.5307,63.8141,0.9981
5,DM-Count-SHA,69.8156,13783.2275,117.4020,77.6948,87.7487,56.8717,0.9935
6,DM-Count-SHB,134.7981,52327.5039,228.7521,141.1231,151.2169,55.6422,0.9919
7,DM-Count-QNRF,73.5796,18037.9375,134.3054,80.1491,91.5221,55.4486,0.9921
8,SFANet-SHB,275.0659,187519.5312,433.0353,278.1661,283.3521,57.4742,0.9928
9,SASNet-SHA,66.8618,12558.2461,112.0636,74.4048,84.5781,58.0967,0.9956
10,SASNet-SHB,137.7576,50468.5000,224.6520,143.8814,151.6344,57.7772,0.9942
