,Model,MAE,MSE,RMSE,GAME4,GAME16,PSNR,SSIM
0,CSRNet-SHA,17.1379,806.5225,28.3993,26.4303,32.8175,72.4440,0.9998
1,CSRNet-SHB,18.5044,775.1627,27.8417,20.7088,25.6379,73.1344,0.9998
2,Bay-SHA,18.6100,790.2663,28.1117,21.4876,24.9654,73.2709,0.9998
3,Bay-SHB,9.5518,267.2238,16.3470,11.6985,15.3639,71.1608,0.9998
4,Bay-QNRF,19.9739,1173.8794,34.2619,21.4685,24.3849,73.4207,0.9998
5,DM-Count-SHA,25.3636,1522.8058,39.0231,27.3264,30.5361,65.4200,0.9993
6,DM-Count-SHB,9.8137,277.7482,16.6658,12.2151,16.4453,63.7056,0.9991
7,DM-Count-QNRF,16.3029,974.7775,31.2214,18.3850,22.1044,64.0632,0.9991
8,SFANet-SHB,15.4167,530.9924,23.0433,21.1743,24.9660,66.9576,0.9995
9,SASNet-SHA,20.7018,1070.0052,32.7109,22.6987,26.0365,67.9262,0.9996
10,SASNet-SHB,6.7886,117.7162,10.8497,9.1115,13.0870,66.8248,0.9994
