,Model,MAE,MSE,RMSE,GAME4,GAME16,PSNR,SSIM
0,CSRNet-SHA,16.7302,707.9448,26.6072,26.0094,32.5201,72.8117,0.9998
1,CSRNet-SHB,17.9514,806.4975,28.3989,20.5046,25.6590,73.4740,0.9998
2,Bay-SHA,17.6603,825.7223,28.7354,21.0758,24.7630,73.4746,0.9998
3,Bay-SHB,10.2378,353.5392,18.8026,12.2652,15.9471,71.4015,0.9998
4,Bay-QNRF,18.7139,1140.2372,33.7674,20.3032,23.6080,73.5768,0.9998
5,DM-Count-SHA,23.4538,1345.5135,36.6812,25.5814,28.8412,65.5473,0.9994
6,DM-Count-SHB,10.2802,326.0192,18.0560,12.6206,17.0169,63.7909,0.9991
7,DM-Count-QNRF,15.6508,972.7637,31.1892,17.8074,21.6850,64.1277,0.9992
8,SFANet-SHB,15.8373,564.2090,23.7531,20.8258,24.8059,67.2178,0.9995
9,SASNet-SHA,20.0895,1067.9127,32.6789,22.1129,25.6808,68.1496,0.9996
10,SASNet-SHB,7.1475,137.3907,11.7214,9.1115,12.8653,67.0922,0.9995
