Model, MAE, MSE, RMSE, GAME4, GAME16, PSNR, SSIM
CSRNet-SHA,198.9389,146305.7265,198.9389,217.2546,235.0503,72.4334,0.9990
CSRNet-SHB,268.0412,210080.0997,268.0412,279.5677,293.5203,72.1034,0.9985
Bay-SHA,187.1092,140419.1556,187.1092,199.2461,213.9938,72.9093,0.9992
Bay-SHB,321.9111,358313.5082,321.9111,329.6540,338.3826,71.6386,0.9983
Bay-QNRF,202.7944,160947.7369,202.7944,212.0655,223.8775,72.9227,0.9993
DM-Count-SHA,187.5585,132890.0592,187.5585,198.2582,211.4380,71.0153,0.9983
DM-Count-SHB,266.8697,253511.3998,266.8697,277.5243,290.0523,69.9308,0.9974
DM-Count-QNRF,179.8183,121620.7833,179.8183,190.9049,203.8735,70.5003,0.9980
SFANet-SHB,535.1482,817413.3317,535.1482,538.7654,543.9263,70.5118,0.9975
SASNet-SHA,199.5770,161483.1026,199.5770,208.3973,220.7485,72.3078,0.9986
SASNet-SHB,286.6907,258404.5389,286.6907,291.8884,298.6263,71.5576,0.9981
