Model, MAE, MSE, RMSE, GAME4, GAME16, PSNR, SSIM
CSRNet-SHA, 17.5456, 905.1002, 17.5456, 26.8513, 33.1150, 72.0763, 0.9997
CSRNet-SHB, 19.0575, 743.8280, 19.0575, 20.9130, 25.6167, 72.7948, 0.9998
Bay-SHA, 19.5597, 754.8102, 19.5597, 21.8994, 25.1677, 73.0673, 0.9998
Bay-SHB, 8.8658, 180.9085, 8.8658, 11.1317, 14.7807, 70.9200, 0.9998
Bay-QNRF, 21.2339, 1207.5217, 21.2339, 22.6337, 25.1618, 73.2646, 0.9998
DM-Count-SHA, 27.2735, 1700.0981, 27.2735, 29.0714, 32.2310, 65.2926, 0.9993
DM-Count-SHB, 9.3472, 229.4772, 9.3472, 11.8097, 15.8738, 63.6204, 0.9991
DM-Count-QNRF, 16.9550, 976.7913, 16.9550, 18.9626, 22.5238, 63.9986, 0.9991
SFANet-SHB, 14.9960, 497.7758, 14.9960, 21.5228, 25.1261, 66.6974, 0.9995
SASNet-SHA, 21.3141, 1072.0977, 21.3141, 23.2844, 26.3922, 67.7027, 0.9995
SASNet-SHB, 6.4297, 98.0417, 6.4297, 9.1115, 13.3088, 66.5574, 0.9994
