,Model,MAE,MSE,RMSE,GAME4,GAME16,PSNR,SSIM
0,CSRNet-SHA,17.5456,905.1002,30.0849,26.8513,33.1150,72.0763,0.9997
1,CSRNet-SHB,19.0575,743.8280,27.2732,20.9130,25.6167,72.7948,0.9998
2,Bay-SHA,19.5597,754.8102,27.4738,21.8994,25.1677,73.0673,0.9998
3,Bay-SHB,8.8658,180.9085,13.4502,11.1317,14.7807,70.9200,0.9998
4,Bay-QNRF,21.2339,1207.5217,34.7494,22.6337,25.1618,73.2646,0.9998
5,DM-Count-SHA,27.2735,1700.0981,41.2322,29.0714,32.2310,65.2926,0.9993
6,DM-Count-SHB,9.3472,229.4772,15.1485,11.8097,15.8738,63.6204,0.9991
7,DM-Count-QNRF,16.9550,976.7913,31.2537,18.9626,22.5238,63.9986,0.9991
8,SFANet-SHB,14.9960,497.7758,22.3109,21.5228,25.1261,66.6974,0.9995
9,SASNet-SHA,21.3141,1072.0977,32.7429,23.2844,26.3922,67.7027,0.9995
10,SASNet-SHB,6.4297,98.0417,9.9016,9.1115,13.3088,66.5574,0.9994
