,Unnamed: 0,MAE,MSE,RMSE,GAME4,GAME16,PSNR,SSIM
0,0.0000,198.9389,146305.7265,382.4800,217.2546,235.0503,72.4334,0.9990
1,1.0000,268.0412,210080.0997,458.2792,279.5677,293.5203,72.1034,0.9985
2,2.0000,187.1092,140419.1556,374.7255,199.2461,213.9938,72.9093,0.9992
3,3.0000,321.9111,358313.5082,596.4052,329.6540,338.3826,71.6386,0.9983
4,4.0000,202.7944,160947.7369,400.7214,212.0655,223.8775,72.9227,0.9993
5,5.0000,187.5585,132890.0592,364.3632,198.2582,211.4380,71.0153,0.9983
6,6.0000,266.8697,253511.3998,502.9515,277.5243,290.0523,69.9308,0.9974
7,7.0000,179.8183,121620.7833,347.2329,190.9049,203.8735,70.5003,0.9980
8,8.0000,535.1482,817413.3317,898.0133,538.7654,543.9263,70.5118,0.9975
9,9.0000,199.5770,161483.1026,401.7283,208.3973,220.7485,72.3078,0.9986
10,10.0000,286.6907,258404.5389,507.7549,291.8884,298.6263,71.5576,0.9981
