,Model,MAE,MSE,RMSE,GAME4,GAME16,PSNR,SSIM
0,CSRNet-SHA,4313.2046,26131787.574,5111.926,4340.4682,4373.8143,50.6647,0.9884
1,CSRNet-SHB,4369.6709,25973082.493,5096.3794,4381.3042,4401.5169,50.6428,0.9887
2,Bay-SHA,4160.1466,24663422.693,4966.2282,4179.3975,4226.7234,50.7788,0.9889
3,Bay-SHB,4764.2312,29300559.5318,5412.9991,4769.4662,4773.2415,50.3453,0.9877
4,Bay-QNRF,4397.4696,26606038.0727,5158.1041,4408.6946,4417.2357,50.5942,0.9882
5,DM-Count-SHA,4076.0057,24081158.1716,4907.2557,4123.2712,4173.5811,50.8289,0.9891
6,DM-Count-SHB,4494.0983,27198118.6764,5215.1816,4505.9972,4510.0484,50.5225,0.9883
7,DM-Count-QNRF,4269.9221,25902632.0719,5089.4628,4305.3919,4314.3516,50.788,0.9885
8,SFANet-SHB,4971.3344,31038436.2166,5571.215,4976.2585,4983.7699,50.2672,0.9873
9,SASNet-SHA,4277.0921,26060411.293,5104.9399,4282.7181,4324.4161,50.7004,0.9885
10,SASNet-SHB,4636.0247,28271592.8363,5317.1038,4642.2164,4646.4352,50.4501,0.988
