,Model,MAE,MSE,RMSE,GAME4,GAME16,PSNR,SSIM
0,CSRNet-SHA,91.3511,28210.7394,167.9605,108.9819,123.5643,79.0312,0.9999
1,CSRNet-SHB,110.3214,36087.1548,189.9662,117.5906,127.3573,78.8873,0.9999
2,Bay-SHA,65.9103,14419.2469,120.0802,74.2937,87.5476,79.0641,0.9999
3,Bay-SHB,120.4666,49858.459,223.2901,123.22,128.9284,78.3672,0.9999
4,Bay-QNRF,76.7304,22104.8946,148.6771,81.3839,89.0568,78.8884,0.9999
5,DM-Count-SHA,76.7693,17629.0363,132.7744,86.9773,94.2291,77.3879,0.9999
6,DM-Count-SHB,107.8668,37720.5547,194.2178,112.9208,119.515,76.518,0.9999
7,DM-Count-QNRF,60.2941,14939.8259,122.2286,69.3511,77.9778,77.0827,0.9999
8,SFANet-SHB,148.0384,76266.1497,276.1633,152.9078,160.3787,78.0507,0.9999
9,SASNet-SHA,84.3264,26420.2185,162.543,99.4864,108.4416,79.3684,0.9999
10,SASNet-SHB,128.1936,54658.1399,233.7908,128.5797,133.3845,78.9042,0.9999
